Rank,Name,Year,Position,WAR_z,oWAR_z,dWAR_z,득점_z,안타_z,홈런_z,타점_z,도루_z,볼넷_z,삼진_z,타율_z,출루율_z,장타율_z,OPS_z,R/ePA_z,wRC+_z
4267,이종범,1996,SS,4.587192182,3.657328579,3.177888564,3.132791736,2.315575849,3.512763897,2.249227271,5.419653621,2.398145938,-0.031318771,2.041050941,2.280683552,2.64728938,2.626048346,2.047396273,2.351438171
4269,양준혁,1996,RF,4.042954196,4.22451323,-0.421825986,2.892922808,2.3665967,4.035541394,2.757589207,1.786563832,3.21730293,1.517454689,2.355207797,2.838335867,3.364562006,3.31394213,2.66201713,3.121185365
4270,홍현우,1996,3B,4.02181874,3.99442889,0.253120492,2.605080095,2.264554997,2.118690573,1.833294778,1.252285922,4.036459922,1.015149783,2.041050941,2.858989656,2.23918599,2.585584006,2.270894766,2.641630404
4274,박재홍,1996,CF,3.17640051,2.758394416,1.481869209,2.221289811,2.137002868,4.384059725,3.728098357,3.175686398,1.633599412,2.815075695,1.21077925,1.124071345,2.560721994,2.11619766,1.600399285,1.844831392
4287,김응국,1996,LF,2.061505218,2.70488643,-1.996701101,1.597630599,2.162513293,0.724617249,1.694650613,2.107130578,2.288925005,0.889573556,1.794213411,1.888261553,1.299311514,1.590161237,1.525899788,1.761216681
4289,류지현,1996,SS,1.908273164,0.848159319,3.506708643,1.309787886,0.963523279,-0.146678578,-0.061508802,1.893419414,1.961262208,0.889573556,0.17854958,1.000148608,-0.209434354,0.25483801,0.464281943,0.487321964
4293,임수혁,1996,C,1.834299069,1.613323518,0.789616411,0.686128674,1.473731796,1.07313558,2.249227271,-0.243692227,1.251326149,0.261692424,1.569815657,1.454531976,1.311678284,1.428303876,1.24652667,1.419380068
4298,심재학,1996,RF,1.749757246,1.79525067,-0.075699587,1.453709242,1.346179666,2.292949739,2.064368385,-0.564258973,2.234314539,0.76399733,0.986381496,1.66106987,1.435345978,1.590161237,1.209276922,1.380031968
4305,송지만,1996,LF,1.585957464,1.763145878,-0.508357585,1.405735457,1.397200518,2.292949739,1.186288677,0.397441266,1.08749475,1.726748399,1.031261047,1.103417555,2.078417987,1.792482938,1.470025164,1.675142713
4306,박진만,1996,SS,1.543686552,0.596671785,3.108663284,0.973971387,1.116585834,0.201839753,0.493067855,0.504296848,-0.168545971,0.638421103,0.941501945,0.359881136,0.619139197,0.54618126,0.538781441,0.575855188
4311,김광림,1996,CF,1.422157681,1.645428309,-0.664114465,1.933447098,1.983940313,-0.495196909,1.001429791,0.931719176,1.196715682,0.973291041,1.390297453,1.103417555,0.408904117,0.699945753,0.892654056,0.993928743
4312,김경기,1996,1B,1.411589954,1.666831503,-0.767952384,1.213840315,1.397200518,2.64146807,1.694650613,-0.029981063,1.469768013,1.768607142,0.739543966,0.93818724,1.3858789,1.274539383,1.0789028,1.232476596
4313,박경완,1996,C,1.374602906,0.666232167,2.329878886,1.405735457,0.555356465,1.770172242,2.156797828,-0.457403391,2.015872675,3.066228148,-0.517083458,0.710995557,0.631505966,0.691852884,0.427032194,0.43813684
4316,김재현,1996,LF,1.332331994,1.351134387,-0.006474307,1.357761671,1.499242221,1.07313558,1.509791727,0.076874519,1.415157547,0.512844877,0.941501945,1.186032713,0.730440121,0.942731794,0.892654056,0.996388
4323,김인호,1996,2B,1.268925627,0.521760605,2.468329446,2.077368454,0.861481575,1.07313558,0.446853134,2.000274996,1.742820344,1.057008525,-0.315125479,0.504457662,0.161568728,0.303395218,0.296658072,0.293040724
4325,이숭용,1996,1B,1.23193858,1.345783588,-0.317988066,0.782076245,1.167606685,1.247394746,0.909000349,-0.136836645,2.015872675,0.470986135,0.874182618,1.537147133,1.17564382,1.3716538,1.041653051,1.153780397
4327,이승엽,1996,1B,1.147396757,1.811303065,-2.100539021,1.357761671,2.06047159,0.724617249,2.249227271,-0.243692227,0.596000555,0.094257455,1.390297453,0.814264504,1.311678284,1.177424967,1.023028177,1.168535934
4329,김상호,1996,RF,1.068138797,1.099646853,-0.058393267,1.165866529,1.524752647,2.64146807,2.203012549,-0.136836645,0.432169157,2.563923243,0.627345089,0.194650821,1.422979209,1.007474738,0.687780436,0.760299404
4332,김실,1996,LF,0.946609927,1.142453242,-0.594889185,1.165866529,1.626794351,-0.84371524,0.493067855,-0.029981063,1.251326149,0.38726865,1.121020148,1.000148608,0.161568728,0.497624051,0.762279934,0.838995602
4335,김동수,1996,C,0.899055151,0.227466683,2.208734647,0.686128674,0.580866891,1.247394746,1.047644513,-0.671114555,0.541390089,-0.156894998,0.088790478,0.318573558,0.446004425,0.416695371,0.278033198,0.27582593
4342,박정태,1996,2B,0.814513328,1.356485185,-1.702493662,0.973971387,1.397200518,0.027580587,1.556006449,-0.457403391,0.486779623,-0.031318771,1.524936106,1.082763766,0.878841354,0.99938187,1.023028177,1.178372959
4344,장종훈,1996,1B,0.766958553,0.960526089,-0.594889185,1.021945172,0.478825187,1.770172242,1.371147563,0.183730101,0.759831953,0.973291041,0.560025762,1.103417555,1.633214289,1.501139689,1.041653051,1.188209984
4345,이영우,1996,LF,0.735255369,1.126400846,-1.217916703,1.453709242,0.938012853,0.550358084,0.539282577,0.61115243,1.415157547,0.973291041,0.627345089,0.93818724,0.76754043,0.869895981,0.967153553,1.084921223
4350,이명수,1996,2B,0.692984458,0.676933764,0.062750973,0.110443247,0.963523279,-0.146678578,-0.153938245,-0.671114555,1.08749475,0.638421103,0.896622394,1.000148608,0.025534265,0.408602503,0.687780436,0.76275866
4351,심성보,1996,LF,0.65599741,0.939122895,-0.889096624,1.069918958,0.861481575,0.027580587,1.093859234,0.183730101,0.923663352,0.638421103,0.761983741,0.607726609,0.854107816,0.797060169,0.762279934,0.843914115
4352,박현승,1996,3B,0.634861954,1.238767616,-1.927475821,1.597630599,1.116585834,0.550358084,1.093859234,0.397441266,0.923663352,0.638421103,1.053700822,1.082763766,1.027242587,1.096496287,1.023028177,1.153780397
4353,김기태,1996,1B,0.603158771,1.292275602,-2.18707062,0.878023816,0.861481575,1.247394746,1.186288677,-0.350547809,1.688209878,0.345409908,1.255658801,1.743685027,1.670314597,1.776297202,1.376900792,1.525128085
4354,심정수,1996,RF,0.597874907,0.650179771,-0.144924866,1.069918958,0.861481575,2.292949739,1.232503399,-0.243692227,0.923663352,1.894183368,0.156109805,0.339227347,1.249844437,0.950824662,0.538781441,0.575855188
4355,류중일,1996,SS,0.545036267,0.125801509,1.360724969,0.39828596,0.733929446,-0.495196909,0.354423691,0.718008012,0.923663352,1.098867267,0.088790478,0.256612189,-0.518603589,-0.23882694,0.054534704,0.012685516
4357,전준호,1996,LF,0.497481492,0.660881368,-0.525663905,0.973971387,0.759439872,-0.495196909,-0.246367688,1.67970825,0.814442419,-0.115036255,0.694664415,0.649034188,0.384170578,0.50571692,0.650530687,0.698817998
