Rank,Name,Year,Position,WAR_z,oWAR_z,dWAR_z,출장 경기_z,타석_z,유효타석_z,타수_z,득점_z,안타_z,2루타_z,3루타_z,홈런_z,루타_z,타점_z,도루_z,도루실패_z,볼넷_z,사구_z,고의사구_z,삼진_z,병살타_z,희생번트_z,희생플라이_z,타율_z,출루율_z,장타율_z,OPS_z,R/ePA_z,wRC+_z,WAR2_z
4267,이종범,1996,SS,4.587192182,3.657328579,3.177888564,0.888577162,1.695596736,1.686580277,1.657579772,3.132791736,2.315575849,2.193804163,-0.228915803,3.512763897,2.71161627,2.249227271,5.419653621,2.112139752,2.398145938,0.721102585,4.15586705,-0.031318771,-0.213555385,-0.931868769,0.045087254,2.041050941,2.280683552,2.64728938,2.626048346,2.047396273,2.351438171,4.587192182
4269,양준혁,1996,RF,4.042954196,4.22451323,-0.421825986,1.292414922,1.728005287,1.759807822,1.559510011,2.892922808,2.3665967,2.822284746,0.339285922,4.035541394,3.002333324,2.757589207,1.786563832,3.611309585,3.21730293,0.484144525,1.988847415,1.517454689,-0.213555385,-0.931868769,1.491347635,2.355207797,2.838335867,3.364562006,3.31394213,2.66201713,3.121185365,4.042954196
4270,홍현우,1996,3B,4.02181874,3.99442889,0.253120492,1.292414922,1.85115778,1.872977665,1.612316805,2.605080095,2.264554997,2.445196396,1.47568937,2.118690573,2.420899215,1.833294778,1.252285922,1.362554836,4.036459922,0.010228405,2.607995882,1.015149783,0.962056436,-0.749175174,1.009260841,2.041050941,2.858989656,2.23918599,2.585584006,2.270894766,2.641630404,4.02181874
4274,박재홍,1996,CF,3.17640051,2.758394416,1.481869209,1.292414922,1.83819436,1.886291764,1.898982261,2.221289811,2.137002868,2.31950028,1.47568937,4.384059725,2.953880482,3.728098357,3.175686398,3.361447946,1.633599412,0.721102585,1.679273181,2.815075695,0.668153481,-0.931868769,1.973434429,1.21077925,1.124071345,2.560721994,2.11619766,1.600399285,1.844831392,3.17640051
4287,김응국,1996,LF,2.061505218,2.70488643,-1.996701101,1.292414922,1.650224764,1.693237326,1.634948289,1.597630599,2.162513293,1.439627464,2.612092819,0.724617249,1.904068895,1.694650613,2.107130578,0.862831558,2.288925005,-0.463687714,1.369698947,0.889573556,1.843765301,-0.749175174,1.009260841,1.794213411,1.888261553,1.299311514,1.590161237,1.525899788,1.761216681,2.061505218
4289,류지현,1996,SS,1.908273164,0.848159319,3.506708643,0.484739403,1.313175834,1.320442549,1.174774794,1.309787886,0.963523279,0.559754648,0.907487646,-0.146678578,0.692747834,-0.061508802,1.893419414,0.862831558,1.961262208,1.668934825,0.131402013,0.889573556,-0.801361295,0.712373587,0.045087254,0.17854958,1.000148608,-0.209434354,0.25483801,0.464281943,0.487321964,1.908273164
4293,임수혁,1996,C,1.834299069,1.613323518,0.789616411,0.888577162,1.086315977,1.107416962,1.08424886,0.686128674,1.473731796,0.936842998,0.339285922,1.07313558,1.371087628,2.249227271,-0.243692227,0.363108281,1.251326149,-0.226729654,1.369698947,0.261692424,1.843765301,-0.566481579,2.455521223,1.569815657,1.454531976,1.311678284,1.428303876,1.24652667,1.419380068,1.834299069
4298,심재학,1996,RF,1.749757246,1.79525067,-0.075699587,1.043899377,1.345584385,1.340413698,1.204950105,1.453709242,1.346179666,0.559754648,-0.228915803,2.292949739,1.548748051,2.064368385,-0.564258973,0.113246642,2.234314539,1.668934825,3.536718583,0.76399733,0.668153481,-0.931868769,2.455521223,0.986381496,1.66106987,1.435345978,1.590161237,1.209276922,1.380031968,1.749757246
4305,송지만,1996,LF,1.585957464,1.763145878,-0.508357585,1.16815715,1.274285573,1.260529103,1.242669244,1.405735457,1.397200518,2.445196396,1.47568937,2.292949739,1.920219843,1.186288677,0.397441266,3.111586307,1.08749475,1.195018705,0.131402013,1.726748399,0.08034757,1.260454372,0.045087254,1.031261047,1.103417555,2.078417987,1.792482938,1.470025164,1.675142713,1.585957464
4306,박진만,1996,SS,1.543686552,0.596671785,3.108663284,0.950706048,0.924273222,0.874420226,0.993722927,0.973971387,1.116585834,1.313931348,0.339285922,0.201839753,0.951162994,0.493067855,0.504296848,0.862831558,-0.168545971,0.721102585,-0.487746454,0.638421103,0.08034757,2.356615942,-0.919086333,0.941501945,0.359881136,0.619139197,0.54618126,0.538781441,0.575855188,1.543686552
