rank,year,position,name,contract_period,total_amount,options
1,2000,투수,김정수,1년,0.5억,없음
2,2000,투수,송유석,1년,0.75억,없음
3,2000,투수,송진우,3년,7억,없음
4,2000,투수,이강철,3년,8억,없음
5,2000,야수,김동수,3년,8억,없음
6,2001,투수,조계현,1년,2.08억,없음
7,2001,투수,김상진,3년,8.5억,없음
8,2001,야수,김기태,4년,18억,없음
9,2001,야수,장종훈,3년,7억,1.5억
10,2001,야수,강석천,3년,5.1억,9천
11,2001,야수,홍현우,4년,18억,없음
12,2002,투수,김원형,4년,14억,3억
13,2002,야수,전준호,3년,12억,2억
14,2002,야수,양준혁,4년,27.2억,4억
15,2002,야수,김민재,4년,10억,없음
16,2003,투수,강상수,3년,4억,6천
17,2003,투수,송진우,3년,18억,없음
18,2003,야수,안경현,4년,15억,2억
19,2003,야수,박정태,2년,6억,1억
20,2003,야수,박경완,3년,19억,없음
21,2004,투수,가득염,3년,5.6억,없음
22,2004,투수,조웅천,3+1년,17.5억,없음
23,2004,야수,이숭용,3년,17.5억,없음
24,2004,야수,김종훈,3년,5.2억,9천
25,2004,야수,유지현,1년,4.3억,1억
26,2004,야수,장원진,2년,4.5억,없음
27,2004,투수,조규제,2년,4.5억,없음
28,2004,투수,진필중,4년,30억,4억
29,2004,투수,이상목,4년,22억,3억
30,2004,야수,박종호,4년,22억,4억
31,2004,야수,마해영,4년,28억,4억
32,2004,야수,정수근,6년,40.6억,없음
33,2005,투수,오봉옥,2년,3억,없음
34,2005,투수,임창용,2년,18억,10승 초과시 1승당 1천 & 10승 미달성시 -2억
35,2005,야수,신동주,3년,4.9억,9천
36,2005,야수,김한수,4년,28억,5천
37,2005,야수,심재학,3년,18억,3억
38,2005,야수,김동수,2년,6억,없음
39,2005,야수,조원우,2년,4.5억,없음
40,2005,야수,김태균,1년,0.86 억,없음
41,2005,야수,심정수,4년,60억,10억
42,2005,야수,박진만,4년,39억,4억
43,2005,야수,김재현,4년,20.7억,2억 6천
44,2006,투수,위재영,3년,8억,9천
45,2006,투수,송진우,2년,14억,2억
46,2006,야수,양준혁,2년,15억,1억
47,2006,야수,김대익,2년,3.2억,6천
48,2006,야수,전상렬,2년,4억,없음
49,2006,야수,김창희,1년,1억,없음
50,2006,야수,홍원기,1년,0.8억,없음
51,2006,야수,정경배,3년,16억,1억 5천
52,2006,야수,박재홍,2+2년,30억,2억
53,2006,야수,전준호,1년,2.8억,없음
54,2006,야수,송지만,3년,18억,2억
55,2006,야수,장성호,4년,42억,4억
56,2006,야수,이종범,2년,18억,2억
57,2006,야수,김민재,4년,14억,1억
58,2007,투수,전병호,2년,9억,1억
59,2007,투수,권준헌,3년,8.5억,5천
