Rank,Name,Year,Position,Binary_SP,WAR,완투,완봉,승,패,세이브,홀드,이닝,자책점,4구,삼진,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
1,정민태,1999,P,1,9.74,7,0,20,7,3,0,230.2,65,63,178,2.54,2.69,2.69,2.72,3.9,1.17
2,임창용,1999,P,0,7.48,0,0,13,4,38,0,138.2,33,29,141,2.14,2.14,2.14,2.03,2.78,0.87
3,조계현,1996,P,1,7.05,11,3,16,7,0,0,191.2,44,45,116,2.07,2.39,2.39,2.3,3.23,0.99
4,해리거,2000,P,1,6.88,3,0,17,10,0,0,225,78,61,162,3.12,3.4,3.4,3.54,3.22,1.12
5,문동환,1999,P,1,6.57,6,1,17,4,0,0,189.1,69,67,141,3.28,3.57,3.57,3.53,3.83,1.26
6,김현욱,1997,P,0,6.27,0,0,20,2,6,0,157.2,33,29,135,1.88,2.28,2.28,2.25,2.28,0.89
7,정민철,1997,P,1,6.19,10,4,14,11,0,0,208.2,57,45,160,2.46,2.98,2.98,3.07,2.67,1.04
8,정명원,1998,P,1,6.13,5,3,14,8,0,0,184,38,60,123,1.86,2.89,2.89,2.91,3.17,1.09
9,박지철,1997,P,0,5.9,3,0,14,5,7,0,157.2,43,61,96,2.45,2.57,2.57,2.47,3.58,1.14
10,정민태,1996,P,1,5.8,4,2,15,9,0,0,210.1,57,45,127,2.44,2.87,2.87,2.91,3.15,1.07
11,임선동,2000,P,1,5.77,1,1,18,4,0,0,195.1,73,61,174,3.36,3.46,3.46,3.62,3.27,1.22
12,정민철,1999,P,1,5.6,2,1,18,8,1,0,201.2,84,57,151,3.75,4.11,4.11,4.11,4.17,1.17
13,진필중,1998,P,0,5.57,1,1,8,6,19,0,158.1,41,42,100,2.33,2.5,2.5,2.61,3.08,1.12
14,정민태,2000,P,1,5.53,3,1,18,6,0,0,207,80,66,153,3.48,3.7,3.7,3.87,3.96,1.25
15,주형광,1996,P,1,5.43,10,1,18,7,1,0,216.2,81,38,221,3.36,3.57,3.57,3.38,2.35,1.08
16,이강철,1996,P,1,5.39,5,2,10,9,1,0,153.2,42,47,119,2.46,2.52,2.52,2.41,3.22,1.05
17,진필중,1999,P,0,5.35,0,0,16,6,36,0,114,30,37,114,2.37,2.53,2.53,2.64,3.2,1.06
18,주형광,1999,P,1,5.34,4,0,13,12,1,0,190,84,45,177,3.98,4.17,4.17,4.13,3.72,1.24
19,손민한,2000,P,1,5.31,4,1,12,7,0,0,174.1,62,55,117,3.2,3.51,3.51,3.49,4.13,1.19
20,구대성,1996,P,0,5.31,1,0,18,3,24,0,139,29,27,183,1.88,2.07,2.07,2.15,1.14,0.76
21,정민태,1998,P,1,5.26,5,2,17,9,0,0,200.2,63,49,159,2.83,3.45,3.45,3.48,3.17,1.16
22,이대진,1996,P,1,5.2,4,2,16,8,3,0,159.2,42,40,146,2.37,2.71,2.71,2.59,2.68,0.96
23,이경필,1999,P,1,5.16,1,0,13,7,0,0,166.2,59,55,91,3.19,3.62,3.62,3.78,4.39,1.24
24,임창용,1998,P,0,5.14,0,0,8,7,34,0,133.2,28,30,141,1.89,2.36,2.36,2.26,1.82,0.9
25,성영재,1996,P,1,5.05,5,3,10,5,0,0,148,39,38,92,2.37,2.61,2.61,2.59,3.41,1.08
26,이대진,1997,P,1,4.97,3,1,17,6,1,0,180.2,63,65,140,3.14,3.39,3.39,3.27,3.48,1.21
27,구대성,2000,P,0,4.94,0,0,6,7,21,0,133.1,41,47,136,2.77,3.17,3.17,3.14,3.47,1.09
28,정민철,1996,P,1,4.92,9,4,13,12,1,0,219.2,74,48,203,3.03,3.32,3.32,3.44,2.46,1.01
29,김수경,1998,P,1,4.78,0,0,12,4,2,0,160,49,68,168,2.76,3.15,3.15,3.17,2.5,1.13
30,위재영,1996,P,1,4.76,1,0,12,7,0,0,181.2,55,51,138,2.72,2.97,2.97,3.02,3.02,1.16
31,임창용,2000,P,0,4.67,0,0,5,4,30,0,88.2,15,22,95,1.52,1.93,1.93,1.85,2.23,0.9
32,이강철,1998,P,1,4.64,3,2,15,11,0,0,179.1,62,47,160,3.11,3.51,3.51,3.37,3.29,1.18
33,송진우,1996,P,1,4.61,5,0,15,9,0,0,213,77,84,160,3.25,3.38,3.38,3.51,3.55,1.26
