Rank,Name,Year,Position,Binary_SP,WAR_z,완투_z,완봉_z,승_z,패_z,세이브_z,홀드_z,이닝_z,자책점_z,4구_z,삼진_z,ERA_z,RA9_z,rRA9_z,rRA9pf_z,FIP_z,WHIP_z
1,정민태,1999,P,1,4.575354386,5.159570495,-0.287479787,3.411655824,0.755072385,0.139075096,0,2.846515779,0.900849132,1.448913019,2.855079175,-1.430997509,-1.498425522,-1.498425522,-1.468801307,-1.107184273,-1.11979932
2,임창용,1999,P,0,3.353574011,-0.372272808,-0.287479787,1.897152426,-0.06067546,5.970590269,0,1.145187268,-0.338698785,-0.069769315,2.00088314,-1.611532071,-1.734388273,-1.734388273,-1.760548794,-2.022878235,-1.985771099
3,조계현,1996,P,1,3.452146854,4.817993611,3.404371247,2.593619102,0.821878219,-0.444871699,0,2.078033784,0.651736948,0.952977564,1.454740345,-1.2640651,-1.294204934,-1.29417844,-1.321268929,-0.746588726,-1.450840836
4,해리거,2000,P,1,3.538170527,2.821317577,-0.32745867,2.922558182,1.7517414,-0.347496604,-0.490541704,3.041029068,1.672069969,1.459948823,2.602857005,-1.113352279,-1.159571766,-1.159571766,-1.093045581,-1.328625218,-1.503280194
5,문동환,1999,P,1,2.861618197,4.369307166,2.874797873,2.762582939,-0.06067546,-0.360769061,0,2.08646576,1.055792621,1.627581528,2.00088314,-1.097008569,-1.120885119,-1.120885119,-1.126315127,-1.164415145,-0.860007786
6,김현욱,1997,P,0,3.312153703,-0.43446246,-0.299275295,3.569696069,-0.587713414,0.526539939,0,1.556245011,-0.048092774,0.008661846,2.205355984,-1.369628525,-1.359453811,-1.359426995,-1.340071673,-1.766198508,-1.841272487
7,정민철,1997,P,1,3.260155795,6.139640548,7.34887114,2.208872706,1.76997412,-0.381741456,0,2.54225296,1.116258585,0.847493294,2.85672217,-1.069456932,-1.006080981,-1.006049725,-0.935523353,-1.434120018,-1.307995953
8,정명원,1998,P,1,2.838698516,2.854452515,4.419066548,1.92840588,0.776709573,-0.383412175,0,1.779852149,0.011348298,1.519670676,1.416937117,-1.602058959,-1.230149786,-1.230149786,-1.207711438,-1.153245535,-1.254240312
9,박지철,1997,P,0,3.071663378,1.537768443,-0.299275295,2.208872706,0.19818243,0.677920171,0,1.556245011,0.437053626,1.686324742,1.189224734,-1.074632304,-1.213056496,-1.21302784,-1.231534319,-0.659270207,-0.952478263
10,정민태,1996,P,1,2.712801347,1.427553662,2.12773203,2.372472821,1.413008294,-0.444871699,0,2.423904545,1.318316766,0.952977564,1.701426537,-1.036131336,-1.017179062,-1.017147402,-0.976331281,-0.820518033,-1.155491095
11,임선동,2000,P,1,2.84361061,0.665901043,3.028992695,3.151231628,-0.048795025,-0.347496604,-0.490541704,2.432137823,1.460000877,1.459948823,2.895901775,-0.968299056,-1.126182615,-1.126182615,-1.047598237,-1.288942613,-1.101141299
12,정민철,1999,P,1,2.337225735,1.20825385,2.874797873,2.978940568,1.026988334,-0.194154342,0,2.310227444,1.636830708,1.180910254,2.231746933,-0.884880458,-0.889212599,-0.889212599,-0.881078109,-0.886436621,-1.11979932
13,진필중,1998,P,0,2.505742071,0.158580695,1.233591015,0.666176577,0.292156812,2.847252152,0,1.307918813,0.150251465,0.598232314,0.906317381,-1.298214727,-1.481629093,-1.481629093,-1.400945268,-1.250945738,-1.12540596
