Rank,Name,Year,Position,Binary_SP,WAR_z,경기_z,경기(선발)_z,경기(구원)_z,경기(마무리)_z,완투_z,완봉_z,승_z,패_z,세이브_z,홀드_z,이닝_z,자책점_z,실점_z,rRA_z,상대 타자 수_z,피안타_z,피홈런_z,4구_z,몸에 맞는 공_z,고의사구_z,삼진_z,보크_z,폭투_z,ERA_z,RA9_z,rRA9_z,rRA9pf_z,FIP_z,WHIP_z
1,정민태,1999,P,1,4.575354386,0.143487485,2.146819393,-0.912803904,0.251033546,5.159570495,-0.287479787,3.411655824,0.755072385,0.139075096,0,2.846515779,0.900849132,0.812117428,0.812117428,2.60524693,2.382324957,1.910050295,1.448913019,-0.203070095,1.367128396,2.855079175,-0.57116442,0.451817768,-1.430997509,-1.498425522,-1.498425522,-1.468801307,-1.107184273,-1.11979932
2,임창용,1999,P,0,3.353574011,2.342672333,-0.919191698,2.517933811,5.174208266,-0.372272808,-0.287479787,1.897152426,-0.06067546,5.970590269,0,1.145187268,-0.338698785,-0.441900125,-0.441900125,0.861335191,0.189867412,-0.035605267,-0.069769315,0.541520252,1.367128396,2.00088314,-0.57116442,-0.132887579,-1.611532071,-1.734388273,-1.734388273,-1.760548794,-2.022878235,-1.985771099
3,조계현,1996,P,1,3.452146854,0.099109288,1.866212646,-1.112800259,0.313400868,4.817993611,3.404371247,2.593619102,0.821878219,-0.444871699,0,2.078033784,0.651736948,0.729517635,0.729517635,1.893459046,1.564064897,1.398231408,0.952977564,0.558559079,-0.940535794,1.454740345,-0.350956339,0.250589417,-1.2640651,-1.294204934,-1.29417844,-1.321268929,-0.746588726,-1.450840836
4,해리거,2000,P,1,3.538170527,0.174223334,2.448229172,-1.187015027,-0.536016412,2.821317577,-0.32745867,2.922558182,1.7517414,-0.347496604,-0.490541704,3.041029068,1.672069969,1.669887279,1.669887279,2.767868691,2.402547011,0.167970154,1.459948823,-0.389911193,-0.036623114,2.602857005,1.036222896,1.456381471,-1.113352279,-1.159571766,-1.159571766,-1.093045581,-1.328625218,-1.503280194
5,문동환,1999,P,1,2.861618197,-0.030132372,2.041094873,-1.015213985,-0.027636721,4.369307166,2.874797873,2.762582939,-0.06067546,-0.360769061,0,2.08646576,1.055792621,1.021120354,1.021120354,1.931166333,1.688983682,0.242345528,1.627581528,1.037913817,0.651013522,2.00088314,-0.57116442,2.498286479,-1.097008569,-1.120885119,-1.120885119,-1.126315127,-1.164415145,-0.860007786
6,김현욱,1997,P,0,3.312153703,2.790902004,-0.910295268,2.902536372,1.283926197,-0.43446246,-0.299275295,3.569696069,-0.587713414,0.526539939,0,1.556245011,-0.048092774,0.091324183,0.091324183,1.284304166,0.818663181,-0.407992145,0.008661846,1.544104097,-0.901177333,2.205355984,-0.494162454,-0.971669092,-1.369628525,-1.359453811,-1.359426995,-1.340071673,-1.766198508,-1.841272487
7,정민철,1997,P,1,3.260155795,0.202565468,2.236517031,-1.04529121,0.234722942,6.139640548,7.34887114,2.208872706,1.76997412,-0.381741456,0,2.54225296,1.116258585,1.339546108,1.339546108,2.344282166,2.131031146,0.755291243,0.847493294,-0.206605478,-0.033935548,2.85672217,1.465447277,-0.296491173,-1.069456932,-1.006080981,-1.006049725,-0.935523353,-1.434120018,-1.307995953
8,정명원,1998,P,1,2.838698516,-0.226389513,1.580926506,-1.034280932,-0.221638412,2.854452515,4.419066548,1.92840588,0.776709573,-0.383412175,0,1.779852149,0.011348298,0.687112891,0.687112891,1.647563434,1.122024839,-0.255511085,1.519670676,0.048637253,-0.52072258,1.416937117,-0.350650846,-0.090939089,-1.602058959,-1.230149786,-1.230149786,-1.207711438,-1.153245535,-1.254240312
9,박지철,1997,P,0,3.071663378,0.799873899,0.348429652,0.499510887,1.474690426,1.537768443,-0.299275295,2.208872706,0.19818243,0.677920171,0,1.556245011,0.437053626,0.30653486,0.30653486,1.392657473,0.969262783,0.173649549,1.686324742,0.293597258,0.833306236,1.189224734,-0.494162454,0.716275705,-1.074632304,-1.213056496,-1.21302784,-1.231534319,-0.659270207,-0.952478263
10,정민태,1996,P,1,2.712801347,0.339502031,2.191184501,-1.112800259,-0.53725863,1.427553662,2.12773203,2.372472821,1.413008294,-0.444871699,0,2.423904545,1.318316766,1.469996302,1.469996302,2.292433655,2.307792574,2.082344629,0.952977564,-0.507143599,1.026823481,1.701426537,1.554235216,0.664606715,-1.036131336,-1.017179062,-1.017147402,-0.976331281,-0.820518033,-1.155491095
11,임선동,2000,P,1,2.84361061,0.032774687,2.229621413,-1.187015027,-0.737637265,0.665901043,3.028992695,3.151231628,-0.048795025,-0.347496604,-0.490541704,2.432137823,1.460000877,1.277235519,1.277235519,2.270088459,2.086760216,0.652196612,1.459948823,0.809065726,-0.680143554,2.895901775,-0.463252589,1.83671039,-0.968299056,-1.126182615,-1.126182615,-1.047598237,-1.288942613,-1.101141299
12,정민철,1999,P,1,2.337225735,0.085614199,2.146819393,-0.964008945,-0.399197077,1.20825385,2.874797873,2.978940568,1.026988334,-0.194154342,0,2.310227444,1.636830708,1.613295309,1.613295309,2.161658408,1.838895309,1.632099501,1.180910254,1.782504163,1.367128396,2.231746933,1.941959029,0.451817768,-0.884880458,-0.889212599,-0.889212599,-0.881078109,-0.886436621,-1.11979932
13,진필중,1998,P,0,2.505742071,1.950830778,-0.470160457,1.812705261,3.531321892,0.158580695,1.233591015,0.666176577,0.292156812,2.847252152,0,1.307918813,0.150251465,0.070886207,0.070886207,1.189104987,1.004301678,-0.255511085,0.598232314,0.048637253,1.647183672,0.906317381,-0.350650846,0.571617128,-1.298214727,-1.481629093,-1.481629093,-1.400945268,-1.250945738,-1.12540596
14,정민태,2000,P,1,2.693435493,0.032774687,2.229621413,-1.187015027,-0.536016412,2.821317577,3.028992695,3.151231628,0.551383783,-0.347496604,-0.490541704,2.674472466,1.756897607,1.669887279,1.669887279,2.482732441,2.402547011,1.943467169,1.704399824,-0.989399653,0.606897325,2.383073427,-0.463252589,1.456381471,-0.895772444,-0.992626007,-0.992626007,-0.905575286,-0.741322671,-0.980499631
15,주형광,1996,P,1,2.493955076,0.339502031,2.191184501,-1.112800259,0.313400868,4.333645046,0.851092812,3.035911664,0.821878219,-0.220467391,0,2.535534791,2.548925661,2.34931472,2.34931472,2.460184343,2.647782369,3.222533331,0.555446934,1.091410418,0.043143844,3.80947218,-0.350956339,1.078624013,-0.469377114,-0.613182998,-0.613143805,-0.710559651,-1.559811103,-1.118572377
16,이강철,1996,P,1,2.47029602,0.179240202,1.324592886,-0.695271253,-0.051167489,1.911902226,2.12773203,1.266741416,1.413008294,-0.220467391,0,1.382632254,0.549186206,0.359278301,0.359278301,1.281395725,0.905334668,1.170193668,1.066557745,2.157113095,0.534983662,1.522018397,-0.350956339,-0.163427881,-1.023810593,-1.219177094,-1.219149201,-1.259067058,-0.755829889,-1.22932853
17,진필중,1999,P,0,2.202073039,2.458418904,-0.919191698,2.620343892,5.545768622,-0.372272808,-0.287479787,2.546225311,0.483156437,5.637360831,0,0.697663899,-0.454906402,-0.476733946,-0.476733946,0.509073718,0.058694738,-0.174580664,0.287567705,-0.203070095,1.367128396,1.377550898,-0.57116442,1.328875787,-1.507724697,-1.567069231,-1.567069231,-1.502627102,-1.679492999,-1.437322306
18,주형광,1999,P,1,2.196666931,0.027740914,2.041094873,-0.964008945,-0.213416899,2.788780508,-0.287479787,1.897152426,2.114652127,-0.194154342,0,2.103109191,1.636830708,1.473960025,1.473960025,1.987702125,2.045023796,2.049025693,0.644904724,-0.699463659,-0.065101352,2.831992795,-0.57116442,-0.717592925,-0.781073085,-0.863471208,-0.863471208,-0.87262166,-1.254349374,-0.917739238
